,Metric,Mean,Std,Min,Max
0,Offensive WAR,18.356999999999996,10.70221590384558,-3.5,41.6
1,Pitching WAR,13.055000000000001,7.66921400368665,-3.3000000000000003,36.3
2,Total WAR,31.412000000000006,15.157171719864316,-3.3000000000000003,76.4
