,Offensive_WAR,Pitching_WAR,Total_WAR,RS,RA,Pythagorean_Expectation,Expected_Wins
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,18.356999999999996,13.055000000000001,31.412000000000006,228.40350000000007,598.45,0.16344159737335828,26.477538774484046
std,10.70221590384558,7.66921400368665,15.157171719864316,107.02215903845581,76.69214003686652,0.10870283292460703,17.609858933786338
min,-3.5,-3.3000000000000003,-3.3000000000000003,9.8335,366.0,0.00048264116701598987,0.07818786905659036
25%,10.975,9.075,23.075000000000003,154.58350000000002,560.0,0.07636877209323943,12.371741079104789
50%,18.1,12.9,33.35,225.83350000000002,600.0,0.15253822724669114,24.71119281396396
75%,26.950000000000003,16.9,43.925000000000004,314.3335,638.25,0.2600193259356262,42.12313080157145
max,41.6,36.3,76.4,460.8335,762.0,0.586165126858337,94.9587505510506
